RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
tRNA_tdbR00000096-Bos_taurus-9913-Phe-AA     	76        	5401.43   	-24.68    	-20.90    	-24.50    	-23.60    	-22.40    	0.53      	0.50      	0.33      	0.31      	0.56      	0.51      	0.33      	0.32      	0.53      	0.50      	0.33      	0.31      
tRNA_tdbR00000038-Rattus_norvegicus-10116-Asp-8UC	75        	5401.02   	-31.41    	-25.40    	-27.40    	-28.00    	-24.20    	0.81      	0.76      	0.50      	0.50      	0.81      	0.76      	0.51      	0.51      	0.81      	0.76      	0.50      	0.50      
tRNA_tdbR00000039-Oryctolagus_cuniculus-9986-Asp-8UC	76        	5402.48   	-35.53    	-10.20    	-27.60    	-31.20    	-25.80    	0.48      	1.00      	0.52      	0.67      	0.50      	1.00      	0.55      	0.69      	0.48      	1.00      	0.52      	0.67      
tRNA_tdbR00000041-Xenopus_laevis-8355-Asp-8UC	75        	5401.70   	-31.62    	-25.80    	-27.10    	-29.50    	-26.90    	0.33      	0.76      	0.33      	0.32      	0.33      	0.76      	0.33      	0.33      	0.33      	0.76      	0.33      	0.32      
tRNA_tdbR00000042-Haloferax_volcanii-2246-Glu-MUC	78        	5401.13   	-32.26    	-25.10    	-24.40    	-28.70    	-26.50    	0.82      	0.62      	0.82      	0.59      	0.84      	0.62      	0.84      	0.61      	0.82      	0.62      	0.82      	0.59      
tRNA_tdbR00000043-Haloferax_volcanii-2246-Glu-NUC	78        	5402.62   	-35.44    	-19.50    	-29.80    	-32.20    	-26.80    	0.80      	0.56      	0.82      	0.51      	0.83      	0.57      	0.84      	0.52      	0.80      	0.56      	0.82      	0.51      
tRNA_tdbR00000044-Mycoplasma_capricolum-2095-Glu-UC	76        	5400.57   	-30.63    	-23.10    	-27.70    	-27.70    	-23.90    	0.33      	0.33      	0.33      	0.30      	0.34      	0.34      	0.34      	0.33      	0.33      	0.33      	0.33      	0.31      
tRNA_tdbR00000045-Escherichia_coli-562-Glu-SUC	76        	5402.97   	-35.28    	-21.50    	-34.40    	-35.10    	-30.10    	1.00      	0.95      	0.95      	0.95      	1.00      	0.95      	0.95      	0.95      	1.00      	0.95      	0.95      	0.95      
tRNA_tdbR00000046-Escherichia_coli-562-Glu-SUC	76        	5402.13   	-35.25    	-29.30    	-32.00    	-32.80    	-28.70    	1.00      	0.98      	1.00      	1.00      	1.00      	0.96      	1.00      	1.00      	1.00      	0.98      	1.00      	1.00      
tRNA_tdbR00000047-Escherichia_coli-562-Glu-SUC	75        	3676.93   	-36.15    	-29.60    	-32.90    	-33.70    	-28.80    	1.00      	0.98      	1.00      	1.00      	1.00      	0.96      	1.00      	1.00      	1.00      	0.98      	1.00      	1.00      
tRNA_tdbR00000048-Synechocystis_sp.-1143-Glu-NUC	76        	5401.97   	-33.68    	-30.50    	-29.50    	-30.00    	-26.00    	0.79      	0.98      	0.91      	1.00      	0.80      	0.96      	0.93      	1.00      	0.79      	0.98      	0.91      	1.00      
tRNA_tdbR00000049-Chlamydomonas_reinhardtii-3055-Glu-NUC	76        	5402.23   	-30.86    	-26.20    	-26.60    	-28.80    	-24.10    	0.78      	0.97      	0.90      	1.00      	0.79      	0.96      	0.93      	1.00      	0.78      	0.97      	0.91      	1.00      
tRNA_tdbR00000050-Hordeum_vulgare-4513-Glu-SPC	76        	5401.64   	-28.45    	-24.40    	-24.70    	-24.50    	-22.80    	0.73      	0.98      	0.74      	0.73      	0.75      	0.96      	0.75      	0.72      	0.73      	0.98      	0.74      	0.73      
tRNA_tdbR00000051-Triticum_aestivum-4565-Glu-SPC	76        	5401.50   	-28.45    	-22.40    	-24.70    	-24.50    	-22.80    	0.73      	0.98      	0.74      	0.73      	0.75      	0.96      	0.75      	0.72      	0.73      	0.98      	0.74      	0.73      
tRNA_tdbR00000053-Bos_taurus-9913-Glu-NUC    	72        	5400.97   	-17.58    	-22.40    	-12.90    	-12.80    	-13.00    	1.00      	0.98      	1.00      	0.50      	1.00      	0.96      	1.00      	0.50      	1.00      	0.98      	1.00      	0.50      
tRNA_tdbR00000054-Saccharomyces_cerevisiae-4932-Glu-3UC	75        	5400.43   	-26.80    	-19.60    	-21.40    	-21.60    	-18.00    	0.79      	1.00      	0.81      	0.79      	0.83      	1.00      	0.83      	0.83      	0.79      	1.00      	0.81      	0.79      
tRNA_tdbR00000055-Schizosaccharomyces_pombe-4896-Glu-3UC	75        	5401.88   	-31.89    	-25.10    	-28.70    	-30.10    	-26.50    	0.74      	0.90      	0.65      	0.30      	0.76      	0.88      	0.67      	0.31      	0.74      	0.91      	0.65      	0.30      
tRNA_tdbR00000056-Hordeum_vulgare-4513-Glu-UPC	76        	5401.33   	-30.10    	-25.70    	-27.50    	-26.70    	-25.10    	0.79      	1.00      	0.79      	0.50      	0.80      	1.00      	0.80      	0.51      	0.79      	1.00      	0.79      	0.50      
tRNA_tdbR00000057-Hordeum_vulgare-4513-Glu-CPC	76        	5401.39   	-30.99    	-25.70    	-28.90    	-29.10    	-26.40    	0.33      	0.68      	0.49      	0.30      	0.33      	0.70      	0.51      	0.32      	0.33      	0.68      	0.49      	0.30      
tRNA_tdbR00000058-Lupinus_luteus-3873-Glu-CUC	76        	5400.90   	-26.05    	-21.80    	-23.60    	-23.00    	-20.10    	0.34      	1.00      	0.55      	0.51      	0.34      	1.00      	0.56      	0.52      	0.34      	1.00      	0.55      	0.51      
tRNA_tdbR00000059-Rattus_norvegicus-10116-Glu-3UC	75        	5401.26   	-31.00    	-25.80    	-28.00    	-26.70    	-22.70    	0.98      	0.98      	0.98      	0.55      	0.99      	0.96      	0.99      	0.56      	0.98      	0.98      	0.98      	0.55      
tRNA_tdbR00000060-Drosophila_melanogaster-7227-Glu-2UC	75        	5400.87   	-32.12    	-22.50    	-28.00    	-28.10    	-24.30    	0.50      	0.51      	0.50      	0.30      	0.51      	0.52      	0.51      	0.32      	0.50      	0.51      	0.50      	0.30      
tRNA_tdbR00000061-Mus_musculus-10090-Glu-CUC 	75        	5401.16   	-30.65    	-25.80    	-28.10    	-26.90    	-23.70    	0.98      	0.98      	0.50      	0.50      	0.99      	0.96      	0.51      	0.51      	0.98      	0.98      	0.50      	0.50      
tRNA_tdbR00000062-Homo_sapiens-9606-Glu-CUC  	75        	5401.06   	-30.65    	-25.80    	-28.10    	-26.90    	-23.70    	0.98      	0.98      	0.50      	0.50      	0.99      	0.96      	0.51      	0.51      	0.98      	0.98      	0.50      	0.50      
tRNA_tdbR00000063-Haloferax_volcanii-2246-Phe-GAA	77        	5400.90   	-33.30    	-30.80    	-33.80    	-33.40    	-30.30    	0.74      	0.50      	0.53      	0.53      	0.78      	0.51      	0.56      	0.56      	0.74      	0.50      	0.53      	0.53      
